,word,sentiment
0,job,['positive']
1,boy,"['disgust', 'negative']"
2,hit,"['anger', 'negative']"
3,solid,['positive']
4,employ,['trust']
5,pretty,"['anticipation', 'joy', 'positive', 'trust']"
6,good,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
7,cool,['positive']
8,corporation,"['positive', 'trust']"
9,critic,['negative']
10,lead,['positive']
11,team,['trust']
12,bear,"['anger', 'fear']"
13,ready,['anticipation']
14,join,['positive']
15,challenge,"['anger', 'fear', 'negative']"
16,giving,['positive']
17,forget,['negative']
18,brilliant,"['anticipation', 'joy', 'positive', 'trust']"
19,flagship,['trust']
20,gear,['positive']
21,diary,"['joy', 'positive', 'trust']"
22,harvest,"['anticipation', 'joy', 'positive']"
23,happy,"['anticipation', 'joy', 'positive', 'trust']"
24,trust,['trust']
25,scandal,"['fear', 'negative']"
26,legal,"['positive', 'trust']"
27,risk,"['anticipation', 'fear', 'negative']"
28,hiding,['fear']
29,dirty,"['disgust', 'negative']"
30,secret,['trust']
31,case,"['fear', 'negative', 'sadness']"
32,kick,"['anger', 'negative']"
33,watch,"['anticipation', 'fear']"
34,time,['anticipation']
35,battery,"['anger', 'negative']"
36,gorgeous,"['joy', 'positive']"
37,actual,['positive']
38,microscope,['trust']
39,network,['anticipation']
40,talk,['positive']
41,possession,"['anger', 'disgust', 'fear', 'negative']"
42,president,"['positive', 'trust']"
43,marshal,"['positive', 'trust']"
44,proud,"['anticipation', 'joy', 'positive', 'trust']"
45,conspiracy,['fear']
46,surprised,['surprise']
47,partner,['positive']
48,deal,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
49,goo,"['disgust', 'negative']"
50,giant,['fear']
51,mobile,['anticipation']
52,create,"['joy', 'positive']"
53,cry,"['negative', 'sadness']"
54,marvel,"['positive', 'surprise']"
55,edition,['anticipation']
56,show,['trust']
57,beautiful,"['joy', 'positive']"
58,shot,"['anger', 'fear', 'negative', 'sadness', 'surprise']"
59,hate,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
60,despise,"['anger', 'disgust', 'negative']"
61,foreign,['negative']
62,government,"['fear', 'negative']"
63,school,['trust']
64,player,['negative']
65,gold,['positive']
66,quit,['negative']
67,working,['positive']
68,rhythm,['positive']
69,important,"['positive', 'trust']"
70,manufacturer,['positive']
71,share,"['anticipation', 'joy', 'positive', 'trust']"
72,catch,['surprise']
73,problem,"['fear', 'negative', 'sadness']"
74,supply,['positive']
75,liberty,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
76,center,"['positive', 'trust']"
77,score,"['anticipation', 'joy', 'positive', 'surprise']"
78,bottom,"['negative', 'sadness']"
79,including,['positive']
80,top,"['anticipation', 'positive', 'trust']"
81,suddenly,['surprise']
82,labor,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
83,responsible,"['positive', 'trust']"
84,learning,['positive']
85,incase,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
86,whip,"['anger', 'negative']"
87,word,"['positive', 'trust']"
88,technology,['positive']
89,trend,['positive']
90,expert,"['positive', 'trust']"
91,explore,['anticipation']
92,professional,"['positive', 'trust']"
93,visit,['positive']
94,awful,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
95,trump,['surprise']
96,full,['positive']
97,plan,['anticipation']
98,pay,"['anticipation', 'joy', 'positive', 'trust']"
99,leader,"['positive', 'trust']"
100,spent,['negative']
101,partnership,"['positive', 'trust']"
102,opportunity,"['anticipation', 'positive']"
103,long,['anticipation']
104,wireless,"['anger', 'anticipation', 'positive', 'surprise']"
105,shit,"['anger', 'disgust', 'negative']"
106,crazy,"['anger', 'fear', 'negative', 'sadness']"
107,bomb,"['anger', 'fear', 'negative', 'sadness', 'surprise']"
108,level,"['positive', 'trust']"
109,resign,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
110,credit,"['positive', 'trust']"
111,shoot,"['anger', 'fear', 'negative']"
112,football,"['anticipation', 'joy', 'positive']"
113,friendly,"['anticipation', 'joy', 'positive', 'trust']"
114,mill,['anticipation']
115,forward,['positive']
116,king,['positive']
117,tough,"['negative', 'sadness']"
118,child,"['anticipation', 'joy', 'positive']"
119,pop,"['negative', 'surprise']"
120,dedication,['positive']
121,start,['anticipation']
122,sea,['positive']
123,finally,"['anticipation', 'disgust', 'joy', 'positive', 'surprise', 'trust']"
124,afford,['positive']
125,ineffective,['negative']
126,series,['trust']
127,excited,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
128,fell,"['negative', 'sadness']"
129,money,"['anger', 'anticipation', 'joy', 'positive', 'surprise', 'trust']"
130,coming,['anticipation']
131,porn,"['disgust', 'negative']"
132,community,['positive']
133,bombed,"['disgust', 'negative']"
134,foul,"['anger', 'disgust', 'fear', 'negative']"
135,gap,['negative']
136,friend,"['joy', 'positive', 'trust']"
137,offer,['positive']
138,truth,"['positive', 'trust']"
139,install,['anticipation']
140,attack,"['anger', 'fear', 'negative']"
141,feeling,"['anger', 'anticipation', 'disgust', 'fear', 'joy', 'negative', 'positive', 'sadness', 'surprise', 'trust']"
142,received,['positive']
143,customer,['positive']
144,young,"['anticipation', 'joy', 'positive', 'surprise']"
145,riot,"['anger', 'fear', 'negative']"
146,defendant,"['anger', 'fear', 'sadness']"
147,surge,['surprise']
148,kill,"['fear', 'negative', 'sadness']"
149,flaunt,['negative']
150,birthday,"['anticipation', 'joy', 'positive', 'surprise']"
151,present,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
152,love,"['joy', 'positive']"
153,feature,['positive']
154,grow,"['anticipation', 'joy', 'positive', 'trust']"
155,attempt,['anticipation']
156,learn,['positive']
157,perfect,"['anticipation', 'joy', 'positive', 'trust']"
158,sever,['negative']
159,worth,['positive']
160,versus,"['anger', 'negative']"
161,question,['positive']
162,prepare,"['anticipation', 'positive']"
163,twitch,['negative']
164,ram,"['anger', 'anticipation', 'negative']"
165,model,['positive']
166,bug,"['disgust', 'fear', 'negative']"
167,doubt,"['fear', 'negative', 'sadness', 'trust']"
168,production,"['anticipation', 'positive']"
169,march,['positive']
170,tomorrow,['anticipation']
171,wan,"['fear', 'negative', 'sadness']"
172,delay,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
173,hash,['negative']
174,fair,['positive']
175,blind,['negative']
176,lover,"['anticipation', 'joy', 'positive', 'trust']"
177,follower,['trust']
178,noted,['positive']
179,population,['positive']
180,sense,['positive']
181,hope,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
182,voucher,['trust']
183,gush,"['disgust', 'joy', 'negative']"
184,innovation,['positive']
185,thoughtfulness,['positive']
186,passion,"['anticipation', 'joy', 'positive', 'trust']"
187,agree,['positive']
