,word,sentiment
0,tomorrow,['anticipation']
1,art,"['anticipation', 'joy', 'positive', 'sadness', 'surprise']"
2,technology,['positive']
3,array,['positive']
4,main,['positive']
5,electric,"['joy', 'positive', 'surprise']"
6,magical,"['anticipation', 'joy', 'positive', 'surprise']"
7,start,['anticipation']
8,revolution,"['anger', 'anticipation', 'fear', 'negative', 'positive', 'sadness', 'surprise']"
9,working,['positive']
10,larger,"['disgust', 'surprise', 'trust']"
11,cry,"['negative', 'sadness']"
12,ram,"['anger', 'anticipation', 'negative']"
13,focus,['positive']
14,wireless,"['anger', 'anticipation', 'positive', 'surprise']"
15,finally,"['anticipation', 'disgust', 'joy', 'positive', 'surprise', 'trust']"
16,perfect,"['anticipation', 'joy', 'positive', 'trust']"
17,daily,['anticipation']
18,hope,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
19,overpriced,"['anger', 'disgust', 'negative', 'sadness']"
20,blatant,"['anger', 'disgust', 'negative']"
21,joke,['negative']
22,interesting,['positive']
23,launch,"['anticipation', 'positive']"
24,announcement,['anticipation']
25,surge,['surprise']
26,explore,['anticipation']
27,fair,['positive']
28,nervous,"['anticipation', 'fear', 'negative']"
29,love,"['joy', 'positive']"
30,shoot,"['anger', 'fear', 'negative']"
31,surprise,"['fear', 'joy', 'positive', 'surprise']"
32,special,"['joy', 'positive']"
33,edition,['anticipation']
34,wait,"['anticipation', 'negative']"
35,show,['trust']
36,excited,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
37,alive,"['anticipation', 'joy', 'positive', 'trust']"
38,information,['positive']
39,join,['positive']
40,time,['anticipation']
41,slim,['positive']
42,feature,['positive']
43,festival,"['anticipation', 'joy', 'positive', 'surprise']"
44,green,"['joy', 'positive', 'trust']"
45,dull,"['negative', 'sadness']"
46,battery,"['anger', 'negative']"
47,jam,['positive']
48,disappointment,"['disgust', 'negative', 'sadness']"
49,problem,"['fear', 'negative', 'sadness']"
50,wanting,"['negative', 'sadness']"
51,league,['positive']
52,leader,"['positive', 'trust']"
53,death,"['anger', 'anticipation', 'disgust', 'fear', 'negative', 'sadness', 'surprise']"
54,star,"['anticipation', 'joy', 'positive', 'trust']"
55,watch,"['anticipation', 'fear']"
56,budget,['trust']
57,dear,['positive']
58,suffer,['negative']
59,evil,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
60,brother,"['positive', 'trust']"
61,giant,['fear']
62,plan,['anticipation']
63,leak,['negative']
64,vision,"['anticipation', 'positive']"
65,crystal,['positive']
66,system,['trust']
67,cash,"['anger', 'anticipation', 'fear', 'joy', 'positive', 'trust']"
68,balance,['positive']
69,promotion,['positive']
70,powerful,"['anger', 'anticipation', 'disgust', 'fear', 'joy', 'positive', 'trust']"
71,verge,"['anticipation', 'fear', 'negative']"
72,challenge,"['anger', 'fear', 'negative']"
73,fill,['trust']
74,series,['trust']
75,award,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
76,gift,"['anticipation', 'joy', 'positive', 'surprise']"
77,white,"['anticipation', 'joy', 'positive', 'trust']"
78,beautiful,"['joy', 'positive']"
79,top,"['anticipation', 'positive', 'trust']"
80,competition,"['anticipation', 'negative']"
81,rest,['positive']
82,flagship,['trust']
83,proud,"['anticipation', 'joy', 'positive', 'trust']"
84,present,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
85,bye,['anticipation']
86,handy,['positive']
87,giving,['positive']
88,attack,"['anger', 'fear', 'negative']"
89,coming,['anticipation']
90,action,['positive']
91,agreed,"['positive', 'trust']"
92,happen,['anticipation']
93,pledge,"['joy', 'positive', 'trust']"
94,aggressive,"['anger', 'fear', 'negative']"
95,shortage,"['anger', 'fear', 'negative', 'sadness']"
96,production,"['anticipation', 'positive']"
97,unable,"['negative', 'sadness']"
98,official,['trust']
99,chance,['surprise']
100,friend,"['joy', 'positive', 'trust']"
101,mate,"['positive', 'trust']"
102,bank,['trust']
103,crazy,"['anger', 'fear', 'negative', 'sadness']"
104,monster,"['fear', 'negative']"
105,charger,['positive']
106,shot,"['anger', 'fear', 'negative', 'sadness', 'surprise']"
107,store,"['anticipation', 'positive']"
108,copy,['negative']
109,exciting,"['anticipation', 'joy', 'positive', 'surprise']"
110,choice,['positive']
111,joined,['positive']
112,boycott,['negative']
113,roulette,['anticipation']
114,winner,"['anticipation', 'joy', 'positive', 'surprise']"
115,model,['positive']
116,hype,"['anticipation', 'negative']"
117,building,['positive']
118,mobile,['anticipation']
119,informer,['negative']
120,cool,['positive']
121,wan,"['fear', 'negative', 'sadness']"
122,full,['positive']
123,reader,['positive']
124,level,"['positive', 'trust']"
125,major,['positive']
126,suddenly,['surprise']
127,primer,"['positive', 'trust']"
128,cheap,['negative']
129,manufacturer,['positive']
130,share,"['anticipation', 'joy', 'positive', 'trust']"
131,cable,['surprise']
132,maroon,['negative']
133,shape,['positive']
134,tempered,['positive']
135,case,"['fear', 'negative', 'sadness']"
136,relief,['positive']
137,stress,['negative']
138,relaxation,['positive']
139,good,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
140,job,['positive']
141,personal,['trust']
142,renowned,['positive']
143,designer,['positive']
144,confirmed,"['positive', 'trust']"
145,establish,['trust']
146,fret,"['fear', 'negative']"
147,including,['positive']
148,foray,"['anger', 'negative']"
149,brilliant,"['anticipation', 'joy', 'positive', 'trust']"
150,question,['positive']
151,money,"['anger', 'anticipation', 'joy', 'positive', 'surprise', 'trust']"
152,wear,"['negative', 'trust']"
153,hit,"['anger', 'negative']"
154,president,"['positive', 'trust']"
155,badly,"['negative', 'sadness']"
156,cracked,"['anger', 'fear', 'negative']"
157,inspired,"['joy', 'positive', 'surprise', 'trust']"
158,team,['trust']
159,expert,"['positive', 'trust']"
160,highest,"['anticipation', 'fear', 'joy', 'negative', 'positive', 'surprise']"
161,rating,"['anger', 'fear', 'negative', 'sadness']"
162,difficult,['fear']
163,bog,['negative']
164,found,"['joy', 'positive', 'trust']"
165,happy,"['anticipation', 'joy', 'positive', 'trust']"
166,worried,"['negative', 'sadness']"
167,partner,['positive']
168,absolute,['positive']
169,impression,['positive']
170,word,"['positive', 'trust']"
171,perfection,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
172,hamper,['negative']
173,march,['positive']
174,lover,"['anticipation', 'joy', 'positive', 'trust']"
175,mar,['negative']
176,change,['fear']
177,honest,"['anger', 'disgust', 'fear', 'joy', 'positive', 'sadness', 'trust']"
178,expect,"['anticipation', 'positive', 'surprise', 'trust']"
179,rocket,['anger']
180,practice,['positive']
181,worth,['positive']
182,extra,['positive']
183,beer,"['joy', 'positive']"
184,god,"['anticipation', 'fear', 'joy', 'positive', 'trust']"
185,decent,['positive']
186,amen,"['joy', 'positive', 'trust']"
187,blame,"['anger', 'disgust', 'negative']"
188,interested,"['disgust', 'positive', 'sadness']"
189,reason,['positive']
190,portable,['positive']
191,shopping,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
192,lightning,"['anger', 'fear', 'surprise']"
193,magnet,"['positive', 'trust']"
194,agree,['positive']
195,drawback,['negative']
196,real,"['positive', 'trust']"
197,late,"['negative', 'sadness']"
198,deal,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
199,core,['positive']
200,patent,['positive']
201,lawsuit,"['anger', 'disgust', 'fear', 'negative', 'sadness', 'surprise']"
202,planning,"['anticipation', 'positive', 'trust']"
203,vacation,"['anticipation', 'joy', 'positive']"
204,battle,"['anger', 'negative']"
205,defect,"['anger', 'negative']"
206,spoil,"['disgust', 'negative']"
207,provide,"['positive', 'trust']"
208,customer,['positive']
209,confidence,"['fear', 'joy', 'positive', 'trust']"
210,rear,['negative']
211,offering,['trust']
212,offer,['positive']
213,primary,['positive']
214,reading,['positive']
215,mover,['positive']
216,advantage,['positive']
217,spirit,['positive']
218,talk,['positive']
219,forget,['negative']
220,fire,['fear']
221,backbone,"['anger', 'positive', 'trust']"
222,ability,['positive']
223,unfold,"['anticipation', 'positive']"
224,epic,['positive']
225,cap,"['anticipation', 'trust']"
226,shell,"['anger', 'fear', 'negative', 'sadness', 'surprise']"
227,dust,['negative']
228,expecting,['anticipation']
229,usual,"['positive', 'trust']"
230,corporation,"['positive', 'trust']"
231,hearing,"['fear', 'negative']"
232,pick,['positive']
233,minimum,['negative']
234,shit,"['anger', 'disgust', 'negative']"
235,glad,"['anticipation', 'joy', 'positive']"
236,bad,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
237,option,['positive']
238,participation,['positive']
